grammar-name	direct-children	direct-parents
kind-set	colon|kind|left-brace|literal|right-brace	kind
kind-table	bar|colon|identifier|kind-annotation|list-separator|literal|space-tab1	kind
kind-tuple	kind|left-parenthesis|list-separator|right-parenthesis	kind
kind-with-option	kind|question	kind-annotation|kind-kind|kind-matrix
l1	l2|logic-operator	formula
l2	comparison-operator|l3	l1
l3	add-sub-operator|l4	l2
l4	l5|matrix-operator|mul-div-operator	l3
l5	l6|power-operator	l4
l6	l7|table-operator	l5
l7	factor|set-operator	l6
left-alignment	colon|dash	alignment-separator
left-angle	left-angle1|left-angle2	enum-define|grouping-symbol|kind-annotation|kind-define|kind-kind|paragraph-text
left-angle1	none	left-angle|less-than
left-angle2	none	forbidden-emoji|left-angle
left-anti-join	ws0e	table-operator
left-brace	none	activation-arm|activation-scope|brace-subscript|code-block|context-declaration|empty-map|empty-set|eval-inline-mech-code|fsm-block-transition|grouping-symbol|identifier-path-segment-emoji|inline-mech-code|kind-map|kind-record|kind-set|map|module-suffix-import|option-map|paragraph-text|set|set-comprehension|table-start
left-bracket	none	bracket-subscript|checked-item|citation|grammar-list|grouping-symbol|hyperlink|kind-matrix|matrix-comprehension|matrix-start|paragraph-text|pattern-array|reference|unchecked-item
left-join	ws0e	table-operator
left-parenthesis	none	argument-list|context-capability-declaration|enum-variant-kind|fsm-args|fsm-implementation|fsm-specification|fsm-state-definition-variables|function-define|function-out-args|grammar-group|grouping-symbol|hyperlink|img|kind-tuple|mini-mika|parenthetical-term|pattern-atom-struct|pattern-tuple|pattern-tuple-struct|subtitle|tuple|tuple-destructure|tuple-struct|unordered-list-item
left-semi-join	ws0e	table-operator
less-than	generator-arrow|left-angle1|ws0e	comparison-operator
less-than-equal	ws0e	comparison-operator
list-separator	comma|whitespace0	activation-arm|argument-list|brace-subscript|bracket-subscript|context-declaration|fsm-args|fsm-implementation|fsm-specification|fsm-state-definition-variables|function-define|function-out-args|import-group-separator|kind-matrix|kind-record|kind-table|kind-tuple|match-arm|matrix-comprehension|pattern-array|pattern-atom-struct|pattern-tuple|pattern-tuple-struct|set|set-comprehension|tuple|tuple-destructure
literal	atom|boolean|empty|kind-annotation|number|string	factor|kind-matrix|kind-set|kind-table
load-rpl	none	parse-repl-command
logic-operator	and|or|xor	l1
ls-rpl	none	parse-repl-command
map	left-brace|mapping|right-brace|whitespace0	structure
mapping	colon|comma|expression|whitespace0	map
match-arm	expression|guard-operator|list-separator|output-operator|pattern|statement-separator|whitespace0|whitespace1	expression|match-expression
match-expression	factor|match-arm|period|question|whitespace0	none
matrix	box-drawing-char|matrix-end|matrix-row|matrix-start|whitespace|whitespace0	structure
matrix-column	box-vert|box-vert-bold|comma|expression|space-tab0	matrix-row
matrix-comprehension	bar|comprehension-qualifier|expression|left-bracket|list-separator|right-bracket|space-tab0	expression|factor
matrix-end	box-br|box-br-bold|box-br-round|right-bracket	matrix
matrix-multiply	ws0e	matrix-operator|multiply
matrix-operator	cross-product|dot-product|matrix-multiply|matrix-solve	l4
matrix-row	box-drawing-char|matrix-column|new-line|semicolon|space-tab0|table-separator	matrix
matrix-solve	backslash|ws0e	matrix-operator
matrix-start	box-tl|box-tl-bold|box-tl-round|left-bracket	matrix
mech-code	code-terminal|mech-code-alt|not-mech-code	activation-arm|activation-scope|section
mech-code-alt	activation-scope|comment|expression|fsm-implementation|fsm-specification|function-define|module-import|statement|whitespace0	fsm-block-transition|inline-mech-code|mech-code
mechdown-list	check-list|ordered-list|unordered-list	section-element
mechdown-table	mechdown-table-no-header|mechdown-table-with-header|whitespace0	section-element
mechdown-table-header	alignment-separator|bar|inline-paragraph|space-tab0|whitespace0	mechdown-table-with-header
mechdown-table-no-header	mechdown-table-row	mechdown-table
mechdown-table-row	bar|empty-paragraph|inline-paragraph|space-tab0|space-tab1|whitespace0	mechdown-table-no-header|mechdown-table-with-header
mechdown-table-with-header	mechdown-table-header|mechdown-table-row	mechdown-table
micro-mika	mika-arm-left|mika-arm-right|mika-nose	mika
mika	micro-mika|mika-section|mini-mika|whitespace0	section
mika-arm-left	none	micro-mika|mini-mika
mika-arm-right	none	micro-mika|mini-mika
mika-expression-inner	mika-eye-left|mika-eye-right|mika-nose	mini-mika
mika-eye-left	none	mika-expression-inner
mika-eye-right	none	mika-expression-inner
mika-nose	none	micro-mika|mika-expression-inner
mika-section	mika-section-close|mika-section-open|section	mika
mika-section-close	none	code-terminal|forbidden-emoji|mika-section|not-mech-code|paragraph|paragraph-text
mika-section-open	none	forbidden-emoji|mika-section|paragraph-text
mini-mika	left-parenthesis|mika-arm-left|mika-arm-right|mika-expression-inner|right-parenthesis	mika
module-export-sigil	none	export-declaration
module-import	aliased-item-import|import-sigil|module-only-import|module-suffix-import|space-tab0|whitespace0	mech-code-alt
module-import-alias	module-import-context-alias|module-import-value-alias	aliased-item-import
module-import-alias-path	module-import-alias-segment|slash	module-import-value-alias
module-import-alias-segment	identifier-path-segment	module-import-alias-path
module-import-context-alias	at|context-import-alias-segment|slash	module-import-alias
module-import-intrinsic-segment	module-import-name-segment|underscore	module-import-path-segment
module-import-name-segment	identifier-path-segment	module-import-intrinsic-segment|module-import-path-segment
module-import-path	module-import-path-segment|slash	aliased-item-import|import-group-item|module-suffix-import
module-import-path-segment	module-import-intrinsic-segment|module-import-name-segment	module-import-path
module-import-value-alias	module-import-alias-path	module-import-alias
module-only-import	module-root	module-import
module-root	identifier-path-segment	aliased-item-import|module-only-import|module-suffix-import
module-suffix-import	asterisk|import-group-items|left-brace|module-import-path|module-root|right-brace|slash	module-import
modulus	percent|ws0e	mul-div-operator
mul-assign-operator	whitespace0	op-assign-operator
mul-div-operator	divide|modulus|multiply	l4
multiply	matrix-multiply|ws0e	mul-div-operator
nbsp	none	forbidden-emoji|space-tab
negate	none	grammar-not|not
negate-factor	dash|factor	factor
new-line	carriage-return|carriage-return-new-line|new-line-char	blank-line|code-block|code-terminal|comment|fancy-table|grammar|identifier-path-segment-emoji|inline-paragraph|matrix-row|newline-indent|paragraph|paragraph-newline|raw-string|source-import-tail|table-top|thematic-break|title|title-front-matter|ul-subtitle|unordered-list-item|utf8-string|whitespace
new-line-char	none	new-line
newline-indent	new-line|space-tab	none
no-alignment	dash	alignment-separator
not	exclamation|negate	not-factor
not-element-of	ws0e	set-operator
not-equal	ws0e	comparison-operator
not-factor	factor|not	factor
not-mech-code	error-block|float|idea-block|img|info-block|mika-section-close|question-block|success-block|warning-block	mech-code
number	complex-number|real-number	literal|ordered-list-item
octal-literal	digit-sequence	real-number|untyped-real-number
op-assign	define-operator|expression|op-assign-operator|slice-ref	statement
op-assign-operator	add-assign-operator|div-assign-operator|exp-assign-operator|mul-assign-operator|sub-assign-operator	op-assign
option-map	left-brace|option-mapping|right-brace|whitespace0	code-block|img
option-mapping	colon|comma|identifier|option-value|whitespace0	option-map
option-value	identifier|string	option-mapping
or	ws0e	logic-operator
ordered-list	ordered-list-item|sublist	mechdown-list|sublist
ordered-list-item	number|paragraph-newline|period	ordered-list
output-operator	output-operator-a|output-operator-u	activation-arm|fsm-output|fsm-specification|function-define-match-arms|function-match-arm|match-arm
output-operator-a	whitespace0	output-operator
output-operator-u	whitespace0	output-operator
paragraph	idea-sigil|mika-section-close|new-line|paragraph-element	citation|paragraph-newline|section-element
paragraph-element	emphasis|eval-inline-mech-code|footnote-reference|highlight|hyperlink|inline-code|inline-equation|inline-mech-code|paragraph-text|raw-hyperlink|reference|section-reference|strikethrough|strong|underline	emphasis|highlight|inline-paragraph|paragraph|strikethrough|strong|underline
paragraph-newline	new-line|paragraph	abstract-el|checked-item|error-block|footnote|idea-block|info-block|ordered-list-item|question-block|quote-block|subtitle|success-block|ul-subtitle|unchecked-item|unordered-list-item|warning-block
paragraph-text	asterisk|bar|define-operator|equation-sigil|footnote-prefix|grave|highlight-sigil|http-prefix|img-prefix|left-angle|left-brace|left-bracket|mika-section-close|mika-section-open|right-bracket|section-sigil|text|tilde|underscore	paragraph-element
parenthetical-term	formula|left-parenthesis|right-parenthesis|space-tab0	factor
parse	parse-mech	none
parse-grammar	grammar	none
parse-mech	program	parse
parse-repl-command	cd-rpl|clc-rpl|clear-rpl|code-rpl|colon|docs-rpl|help-rpl|load-rpl|ls-rpl|plan-rpl|profile-rpl|quit-rpl|save-rpl|step-rpl|symbols-rpl|whos-rpl	none
pattern	expression|pattern-array|pattern-atom-struct|pattern-tuple|pattern-tuple-struct|wildcard	activation-arm|fsm-guard|fsm-guard-arm|fsm-transition|fsm-value|function-match-arm|generator|match-arm|pattern-array-item|pattern-atom-struct|pattern-tuple|pattern-tuple-struct
